iter	Passed	Remaining
0	47	20390
1	49	10534
2	51	7218
3	52	5584
4	54	4596
5	57	4011
6	58	3516
7	60	3144
8	61	2850
9	62	2615
10	64	2439
11	66	2288
12	67	2151
13	69	2032
14	70	1930
15	71	1842
16	73	1765
17	74	1695
18	76	1632
19	77	1581
20	79	1529
21	80	1482
22	82	1439
23	83	1399
24	84	1363
25	86	1327
26	87	1296
27	89	1267
28	90	1240
29	92	1215
30	93	1190
31	95	1170
32	96	1152
33	98	1134
34	99	1114
35	101	1096
36	102	1079
37	104	1062
38	105	1050
39	107	1035
40	108	1021
41	110	1007
42	111	994
43	113	981
44	114	969
45	116	958
46	117	947
47	118	936
48	120	926
49	121	917
50	123	907
51	124	898
52	126	889
53	127	881
54	129	872
55	130	864
56	132	857
57	133	849
58	135	841
59	136	834
60	138	827
61	139	820
62	141	814
63	142	807
64	144	801
65	145	795
66	147	789
67	149	784
68	150	780
69	152	776
70	154	772
71	156	768
72	158	766
73	160	762
74	162	759
75	164	755
76	165	751
77	167	747
78	169	742
79	171	741
80	172	736
81	174	732
82	176	729
83	178	725
84	180	722
85	181	717
86	183	714
87	185	711
88	187	710
89	189	706
90	190	702
91	192	699
92	194	695
93	196	692
94	197	689
95	199	686
96	201	684
97	203	680
98	205	677
99	206	673
100	208	670
101	210	667
102	211	664
103	213	661
104	215	658
105	217	656
106	219	653
107	221	651
108	223	648
109	224	646
110	226	643
111	228	640
112	230	638
113	232	635
114	234	632
115	235	630
116	237	627
117	239	625
118	241	622
119	243	620
120	244	617
121	248	618
122	249	615
123	251	612
124	253	609
125	254	606
126	256	603
127	257	600
128	259	598
129	261	595
130	263	592
131	265	590
132	266	587
133	268	585
134	270	582
135	271	579
136	273	576
137	275	574
138	276	571
139	278	568
140	279	565
141	281	563
142	283	560
143	284	557
144	286	554
145	288	552
146	289	550
147	291	547
148	293	545
149	294	542
150	296	539
151	298	537
152	300	535
153	301	533
154	303	530
155	305	528
156	306	525
157	308	523
158	310	520
159	311	518
160	313	515
161	315	513
162	316	510
163	318	508
164	319	505
165	321	503
166	323	501
167	325	499
168	326	496
169	328	494
170	329	491
171	331	489
172	333	487
173	334	484
174	336	482
175	338	480
176	339	478
177	341	475
178	343	473
179	344	471
180	346	468
181	347	466
182	349	464
183	351	461
184	352	459
185	354	457
186	356	455
187	358	453
188	359	451
189	361	448
190	363	446
191	365	445
192	367	443
193	369	441
194	371	439
195	373	437
196	374	435
197	376	433
198	378	431
199	382	431
200	385	431
201	387	429
202	389	428
203	391	426
204	393	424
205	396	423
206	398	421
207	400	419
208	402	417
209	403	415
210	405	413
211	407	411
212	409	409
213	411	407
214	413	405
215	415	403
216	416	401
217	418	399
218	420	397
219	422	395
220	424	393
221	427	393
222	429	391
223	432	390
224	434	387
225	436	385
226	437	383
227	440	382
228	442	381
229	446	380
230	448	378
231	449	376
232	451	374
233	453	372
234	455	370
235	457	368
236	460	367
237	462	365
238	463	362
239	465	360
240	467	358
241	468	356
242	470	354
243	472	352
244	473	350
245	475	347
246	477	345
247	478	343
248	480	341
249	482	339
250	484	337
251	487	336
252	489	334
253	491	332
254	493	330
255	495	328
256	497	326
257	499	324
258	500	322
259	502	321
260	504	319
261	506	317
262	508	315
263	510	313
264	512	311
265	514	309
266	515	307
267	517	305
268	519	303
269	521	301
270	523	299
271	525	297
272	527	295
273	529	293
274	531	291
275	532	289
276	534	287
277	536	285
278	538	283
279	540	281
280	542	279
281	543	277
282	545	275
283	547	273
284	549	271
285	551	269
286	553	267
287	555	265
288	556	263
289	558	261
290	560	259
291	562	258
292	564	256
293	566	254
294	568	252
295	570	250
296	571	248
297	574	246
298	575	244
299	577	242
300	579	240
301	581	238
302	582	236
303	584	234
304	586	232
305	587	230
306	589	228
307	591	226
308	593	224
309	594	222
310	596	220
311	598	218
312	599	216
313	601	214
314	603	212
315	605	210
316	606	208
317	608	206
318	610	204
319	612	202
320	614	200
321	616	199
322	618	197
323	620	195
324	622	193
325	624	191
326	626	189
327	628	187
328	630	185
329	632	183
330	634	182
331	636	180
332	638	178
333	640	176
334	642	174
335	644	172
336	646	170
337	647	168
338	649	166
339	651	164
340	653	162
341	655	161
342	657	159
343	659	157
344	662	155
345	663	153
346	665	151
347	667	149
348	668	147
349	670	145
350	672	143
351	674	141
352	675	139
353	677	137
354	679	135
355	680	133
356	682	131
357	684	129
358	685	127
359	687	126
360	689	124
361	691	122
362	692	120
363	694	118
364	696	116
365	698	114
366	700	112
367	702	110
368	704	108
369	705	106
370	707	104
371	709	102
372	710	101
373	712	99
374	714	97
375	716	95
376	718	93
377	719	91
378	721	89
379	722	87
380	724	85
381	726	83
382	728	81
383	729	79
384	731	77
385	733	75
386	734	74
387	736	72
388	738	70
389	740	68
390	741	66
391	743	64
392	745	62
393	746	60
394	748	58
395	750	56
396	751	54
397	753	53
398	755	51
399	757	49
400	759	47
401	761	45
402	762	43
403	764	41
404	766	39
405	767	37
406	769	35
407	771	34
408	772	32
409	774	30
410	776	28
411	777	26
412	779	24
413	782	22
414	784	20
415	786	18
416	788	17
417	790	15
418	792	13
419	794	11
420	796	9
421	798	7
422	800	5
423	802	3
424	804	1
425	806	0
