iter	Passed	Remaining
0	6	5366
1	12	5173
2	19	5169
3	25	5125
4	31	5037
5	40	5333
6	46	5315
7	53	5304
8	59	5263
9	65	5204
10	72	5171
11	77	5100
12	82	5013
13	88	4941
14	93	4874
15	98	4808
16	103	4744
17	108	4716
18	113	4681
19	123	4818
20	129	4797
21	134	4761
22	140	4731
23	145	4695
24	150	4671
25	156	4646
26	161	4622
27	167	4607
28	172	4598
29	178	4584
30	184	4570
31	189	4555
32	195	4541
33	200	4528
34	206	4513
35	212	4513
36	218	4507
37	224	4500
38	230	4504
39	236	4490
40	241	4473
41	246	4452
42	251	4433
43	257	4415
44	262	4404
45	267	4388
46	273	4377
47	278	4367
48	284	4355
49	289	4345
50	295	4332
51	300	4318
52	305	4302
53	310	4289
54	315	4276
55	321	4268
56	326	4255
57	332	4251
58	338	4249
59	345	4255
60	351	4256
61	358	4262
62	363	4257
63	369	4253
64	375	4247
65	381	4243
66	387	4238
67	393	4233
68	399	4231
69	405	4228
70	411	4223
71	417	4221
72	423	4218
73	429	4211
74	434	4203
75	440	4196
76	446	4190
77	452	4188
78	458	4188
79	465	4191
80	471	4182
81	477	4183
82	483	4175
83	488	4165
84	494	4157
85	500	4152
86	506	4150
87	512	4145
88	517	4137
89	523	4128
90	528	4119
91	533	4108
92	538	4097
93	544	4086
94	548	4073
95	553	4060
96	559	4051
97	564	4044
98	569	4036
99	574	4024
100	580	4019
101	586	4012
102	591	4000
103	595	3988
104	600	3977
105	606	3967
106	611	3958
107	616	3949
108	621	3942
109	627	3934
110	632	3924
111	636	3912
112	641	3901
113	646	3892
114	651	3882
115	656	3873
116	661	3864
117	666	3853
118	671	3843
119	676	3835
120	681	3826
121	686	3817
122	692	3810
123	697	3802
124	702	3793
125	707	3786
126	713	3778
127	718	3770
128	723	3763
129	728	3754
130	733	3747
131	738	3739
132	743	3729
133	748	3719
134	753	3711
135	758	3703
136	763	3695
137	768	3688
138	773	3679
139	778	3670
140	783	3663
141	789	3656
142	794	3649
143	799	3643
144	804	3635
145	809	3627
146	814	3619
147	819	3611
148	825	3605
149	831	3603
150	837	3601
151	843	3595
152	848	3588
153	853	3581
154	859	3575
155	864	3567
156	869	3560
157	874	3551
158	878	3542
159	883	3535
160	889	3528
161	894	3521
162	899	3515
163	904	3508
164	910	3502
165	915	3497
166	921	3493
167	927	3488
168	932	3480
169	937	3474
170	942	3467
171	947	3460
172	953	3454
173	959	3450
174	964	3444
175	969	3437
176	974	3429
177	979	3421
178	984	3414
179	989	3407
180	994	3400
181	999	3394
182	1004	3388
183	1009	3380
184	1014	3373
185	1019	3366
186	1024	3359
187	1030	3353
188	1035	3346
189	1040	3339
190	1044	3331
191	1049	3324
192	1054	3317
193	1059	3310
194	1064	3303
195	1069	3297
196	1075	3291
197	1079	3283
198	1085	3277
199	1090	3270
200	1095	3264
201	1100	3257
202	1106	3252
203	1112	3249
204	1118	3247
205	1125	3244
206	1130	3239
207	1137	3237
208	1144	3235
209	1149	3230
210	1155	3224
211	1160	3218
212	1166	3215
213	1173	3212
214	1179	3209
215	1186	3207
216	1193	3206
217	1199	3202
218	1205	3197
219	1210	3190
220	1215	3184
221	1221	3180
222	1227	3175
223	1232	3169
224	1238	3164
225	1244	3160
226	1250	3155
227	1255	3151
228	1262	3147
229	1268	3143
230	1275	3141
231	1281	3137
232	1286	3131
233	1292	3125
234	1297	3119
235	1302	3112
236	1307	3106
237	1312	3099
238	1317	3091
239	1322	3085
240	1327	3079
241	1332	3072
242	1338	3067
243	1343	3061
244	1348	3054
245	1353	3048
246	1358	3041
247	1363	3035
248	1368	3029
249	1373	3022
250	1378	3016
251	1384	3010
252	1389	3003
253	1394	2996
254	1399	2992
255	1406	2987
256	1411	2981
257	1416	2976
258	1421	2969
259	1426	2963
260	1431	2956
261	1436	2949
262	1441	2942
263	1446	2936
264	1451	2930
265	1456	2924
266	1461	2918
267	1466	2911
268	1471	2905
269	1476	2898
270	1481	2892
271	1486	2886
272	1492	2880
273	1497	2873
274	1501	2867
275	1507	2862
276	1512	2855
277	1517	2849
278	1522	2843
279	1528	2838
280	1534	2835
281	1540	2830
282	1547	2826
283	1552	2821
284	1557	2814
285	1562	2808
286	1568	2803
287	1573	2796
288	1577	2790
289	1583	2783
290	1588	2778
291	1594	2773
292	1599	2767
293	1604	2761
294	1609	2755
295	1614	2749
296	1619	2742
297	1623	2735
298	1629	2730
299	1634	2724
300	1640	2719
301	1645	2713
302	1650	2707
303	1656	2702
304	1661	2696
305	1666	2689
306	1671	2684
307	1676	2678
308	1682	2672
309	1687	2667
310	1692	2661
311	1698	2655
