GameID,Gender,Season,DayNum,GameType,isRegularSeason,isTourney,HasBoxscore,WTeamID,LTeamID,WScore,LScore,ScoreDiff,TotalScore,WLoc,NeutralSite,WHome,WAway,LHome,LAway,NumOT,WSeed,WSeedNum,WSeedRegion,LSeed,LSeedNum,LSeedRegion,WCoachName,LCoachName,WMasseyMeanRank,WMasseyMedianRank,WMasseyBestRank,WMasseyWorstRank,LMasseyMeanRank,LMasseyMedianRank,LMasseyBestRank,LMasseyWorstRank,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,WCoachStartDayNum,WCoachEndDayNum,LCoachStartDayNum,LCoachEndDayNum,WMasseyDayNum,WMasseySystemCount,WMasseyTop10Count,WMasseyTop25Count,WMassey_BOB,WMassey_COL,WMassey_DOK,WMassey_MAS,WMassey_MOR,WMassey_POM,WMassey_RPI,WMassey_SAG,WMassey_WLK,LMasseyDayNum,LMasseySystemCount,LMasseyTop10Count,LMasseyTop25Count,LMassey_BOB,LMassey_COL,LMassey_DOK,LMassey_MAS,LMassey_MOR,LMassey_POM,LMassey_RPI,LMassey_SAG,LMassey_WLK,_row_order,_is_tournament
M_2003_134_1411_1421,M,2003,134,NCAATourney,0,1,1,1421,1411,92,84,8,176,N,1,0,0,0,0,1,X16b,16.0,X,X16a,16.0,X,eddie_biedenbach,ronnie_courtney,240.34375,236.5,184.0,293.0,239.28125,242.5,147.0,293.0,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22,0.0,154.0,0.0,154.0,133.0,32.0,0.0,0.0,236.0,213.0,,265.0,277.0,273.0,186.0,251.0,237.0,133.0,32.0,0.0,0.0,239.0,212.0,,249.0,293.0,268.0,217.0,257.0,240.0,4616,True
M_2003_136_1112_1436,M,2003,136,NCAATourney,0,1,1,1112,1436,80,51,29,131,N,1,0,0,0,0,0,Z01,1.0,Z,Z16,16.0,Z,lute_olson,tom_brennan,2.676470588235294,2.0,1.0,10.0,153.125,154.5,101.0,187.0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15,0.0,154.0,0.0,154.0,133.0,34.0,34.0,34.0,2.0,2.0,,3.0,4.0,3.0,2.0,2.0,2.0,133.0,32.0,0.0,0.0,158.0,144.0,,148.0,187.0,144.0,144.0,158.0,153.0,4617,True
M_2003_136_1113_1272,M,2003,136,NCAATourney,0,1,1,1113,1272,84,71,13,155,N,1,0,0,0,0,0,Z10,10.0,Z,Z07,7.0,Z,rob_evans,john_calipari,36.0,34.5,22.0,52.0,21.705882352941178,21.0,11.0,32.0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18,0.0,154.0,0.0,154.0,133.0,32.0,0.0,2.0,33.0,38.0,,40.0,22.0,32.0,32.0,32.0,34.0,133.0,34.0,0.0,27.0,22.0,19.0,,18.0,23.0,20.0,26.0,24.0,21.0,4618,True
M_2003_136_1140_1163,M,2003,136,NCAATourney,0,1,1,1163,1140,58,53,5,111,N,1,0,0,0,0,0,X05,5.0,X,X12,12.0,X,jim_calhoun,steve_cleveland,27.5,28.0,7.0,40.0,28.59375,27.0,19.0,61.0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22,0.0,154.0,0.0,154.0,133.0,34.0,1.0,13.0,31.0,30.0,,24.0,17.0,23.0,28.0,23.0,26.0,133.0,32.0,0.0,13.0,26.0,23.0,,31.0,42.0,26.0,19.0,28.0,25.0,4619,True
M_2003_136_1141_1166,M,2003,136,NCAATourney,0,1,1,1141,1166,79,73,6,152,N,1,0,0,0,0,0,Z11,11.0,Z,Z06,6.0,Z,jay_smith,dana_altman,45.6875,45.0,12.0,97.0,20.735294117647054,18.5,8.0,51.0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21,0.0,154.0,0.0,154.0,133.0,32.0,0.0,1.0,49.0,35.0,,36.0,50.0,50.0,44.0,48.0,32.0,133.0,34.0,1.0,29.0,24.0,18.0,,19.0,33.0,27.0,23.0,18.0,19.0,4620,True
M_2003_136_1143_1301,M,2003,136,NCAATourney,0,1,1,1143,1301,76,74,2,150,N,1,0,0,0,0,1,W08,8.0,W,W09,9.0,W,ben_braun,herb_sendek,36.40625,33.5,25.0,62.0,50.3125,49.0,23.0,81.0,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19,0.0,154.0,0.0,154.0,133.0,32.0,0.0,2.0,32.0,28.0,,30.0,43.0,40.0,33.0,40.0,33.0,133.0,32.0,0.0,1.0,47.0,56.0,,48.0,31.0,48.0,53.0,46.0,51.0,4621,True
M_2003_136_1153_1211,M,2003,136,NCAATourney,0,1,1,1211,1153,74,69,5,143,N,1,0,0,0,0,0,Z09,9.0,Z,Z08,8.0,Z,mark_few,bob_huggins,43.09375,42.0,34.0,72.0,42.4375,42.0,22.0,67.0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24,0.0,154.0,0.0,154.0,133.0,32.0,0.0,0.0,42.0,40.0,,49.0,54.0,41.0,43.0,39.0,38.0,133.0,32.0,0.0,2.0,40.0,46.0,,54.0,39.0,35.0,29.0,42.0,45.0,4622,True
M_2003_136_1161_1181,M,2003,136,NCAATourney,0,1,1,1181,1161,67,57,10,124,N,1,0,0,0,0,0,Z03,3.0,Z,Z14,14.0,Z,mike_krzyzewski,dale_layer,10.705882352941176,10.5,4.0,19.0,83.03125,83.5,45.0,106.0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19,0.0,154.0,0.0,154.0,133.0,34.0,17.0,34.0,9.0,11.0,,10.0,10.0,8.0,12.0,10.0,5.0,133.0,32.0,0.0,0.0,76.0,75.0,,84.0,85.0,87.0,75.0,89.0,92.0,4623,True
M_2003_136_1173_1409,M,2003,136,NCAATourney,0,1,1,1409,1173,84,71,13,155,N,1,0,0,0,0,0,Y13,13.0,Y,Y04,4.0,Y,john_phillips,oliver_purnell,57.09375,58.0,26.0,79.0,21.676470588235293,18.0,12.0,52.0,33,57,8,12,10,13,8,26,18,12,6,1,11,28,66,9,28,6,9,12,16,11,11,3,3,19,0.0,154.0,0.0,154.0,133.0,32.0,0.0,0.0,58.0,57.0,,66.0,35.0,53.0,64.0,58.0,55.0,133.0,34.0,0.0,25.0,21.0,13.0,,17.0,32.0,31.0,13.0,26.0,22.0,4624,True
M_2003_136_1221_1266,M,2003,136,NCAATourney,0,1,1,1266,1221,72,68,4,140,N,1,0,0,0,0,0,Y03,3.0,Y,Y14,14.0,Y,tom_crean,ralph_willard,12.823529411764708,10.5,5.0,31.0,65.21875,62.5,26.0,123.0,22,51,9,16,19,23,11,20,14,10,4,3,23,24,54,5,15,15,25,14,20,14,9,4,1,20,0.0,154.0,0.0,154.0,133.0,34.0,17.0,33.0,14.0,10.0,,13.0,18.0,13.0,10.0,14.0,13.0,133.0,32.0,0.0,0.0,70.0,59.0,,56.0,105.0,80.0,61.0,68.0,59.0,4625,True
