GameID,Gender,Season,DayNum,GameType,isRegularSeason,isTourney,HasBoxscore,WTeamID,LTeamID,WScore,LScore,ScoreDiff,TotalScore,WLoc,NeutralSite,WHome,WAway,LHome,LAway,NumOT,WSeed,WSeedNum,WSeedRegion,LSeed,LSeedNum,LSeedRegion,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,_row_order,_is_tournament
W_2010_138_3122_3397,W,2010,138,NCAATourney,0,1,1,3397,3122,75,42,33,117,H,0,1,0,0,1,0,X01,1.0,X,X16,16.0,X,31,67,5,19,8,13,21,26,18,13,6,5,14,16,53,3,14,7,9,11,17,4,20,4,3,13,5037,True
W_2010_138_3124_3201,W,2010,138,NCAATourney,0,1,1,3124,3201,69,55,14,124,N,1,0,0,0,0,0,X04,4.0,X,X13,13.0,X,28,57,1,5,12,19,13,24,22,12,6,2,12,21,61,10,34,3,5,17,19,12,18,4,1,18,5038,True
W_2010_138_3132_3277,W,2010,138,NCAATourney,0,1,1,3277,3132,72,62,10,134,N,1,0,0,0,0,0,Y05,5.0,Y,Y12,12.0,Y,28,68,4,16,12,14,15,27,16,10,8,2,20,19,51,11,22,13,22,10,25,12,16,5,1,15,5039,True
W_2010_138_3151_3329,W,2010,138,NCAATourney,0,1,1,3329,3151,70,63,7,133,N,1,0,0,0,0,0,Z04,4.0,Z,Z13,13.0,Z,27,70,0,15,16,23,15,28,19,10,13,3,14,23,60,10,34,7,11,11,32,12,23,4,1,17,5040,True
W_2010_138_3173_3395,W,2010,138,NCAATourney,0,1,1,3173,3395,67,66,1,133,N,1,0,0,0,0,0,X08,8.0,X,X09,9.0,X,23,59,9,26,12,19,13,34,13,16,3,10,14,22,73,8,27,14,15,18,26,8,8,8,6,22,5041,True
W_2010_138_3181_3214,W,2010,138,NCAATourney,0,1,1,3181,3214,72,37,35,109,H,0,1,0,0,1,0,X02,2.0,X,X15,15.0,X,26,57,4,13,16,22,13,34,15,11,10,7,11,15,56,4,15,3,8,10,21,4,16,6,4,20,5042,True
W_2010_138_3199_3256,W,2010,138,NCAATourney,0,1,1,3199,3256,75,61,14,136,H,0,1,0,0,1,0,W03,3.0,W,W14,14.0,W,25,63,3,15,22,26,20,27,13,17,8,3,21,21,62,2,20,17,22,16,21,13,16,5,4,24,5043,True
W_2010_138_3207_3265,W,2010,138,NCAATourney,0,1,1,3207,3265,62,42,20,104,N,1,0,0,0,0,0,X05,5.0,X,X12,12.0,X,24,68,8,25,6,8,20,29,16,8,5,5,18,13,60,5,26,11,17,16,22,9,10,3,4,12,5044,True
W_2010_138_3208_3408,W,2010,138,NCAATourney,0,1,1,3208,3408,64,59,5,123,N,1,0,0,0,0,0,Z05,5.0,Z,Z12,12.0,Z,21,50,6,15,16,24,16,31,15,23,7,7,12,23,69,10,35,3,8,17,17,11,12,11,3,20,5045,True
W_2010_138_3211_3314,W,2010,138,NCAATourney,0,1,1,3211,3314,82,76,6,158,H,0,1,0,0,1,0,Z07,7.0,Z,Z10,10.0,Z,36,75,6,17,4,8,11,31,23,16,11,6,12,30,78,4,18,12,18,17,31,15,18,12,5,16,5046,True
W_2010_138_3216_3261,W,2010,138,NCAATourney,0,1,1,3261,3216,60,39,21,99,N,1,0,0,0,0,0,X07,7.0,X,X10,10.0,X,18,56,1,7,23,30,20,29,9,14,7,4,9,16,54,3,17,4,7,11,25,12,17,7,5,20,5047,True
W_2010_138_3234_3353,W,2010,138,NCAATourney,0,1,1,3234,3353,70,63,7,133,N,1,0,0,0,0,0,Z08,8.0,Z,Z09,9.0,Z,19,44,10,23,22,28,10,29,12,18,4,1,11,27,61,3,10,6,12,11,18,13,13,10,2,21,5048,True
W_2010_138_3246_3251,W,2010,138,NCAATourney,0,1,1,3246,3251,83,77,6,160,H,0,1,0,0,1,0,Y04,4.0,Y,Y13,13.0,Y,25,49,7,11,26,36,9,17,15,15,16,2,17,32,64,2,9,11,16,17,21,8,22,8,1,25,5049,True
