GameID,Gender,Season,DayNum,GameType,isRegularSeason,isTourney,HasBoxscore,WTeamID,LTeamID,WScore,LScore,ScoreDiff,TotalScore,WLoc,NeutralSite,WHome,WAway,LHome,LAway,NumOT,WSeed,WSeedNum,WSeedRegion,LSeed,LSeedNum,LSeedRegion,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,_row_order
W_2010_11_3102_3394,W,2010,11,RegularSeason,1,0,1,3394,3102,65,46,19,111,H,0,1,0,0,1,0,,,,,,,25,64,2,18,13,18,21,24,13,18,10,1,16,15,47,5,17,11,20,12,21,8,25,10,0,19,0
W_2010_11_3103_3237,W,2010,11,RegularSeason,1,0,1,3103,3237,63,49,14,112,H,0,1,0,0,1,0,,,,,,,23,54,5,9,12,19,10,26,14,18,7,0,15,20,54,3,13,6,10,11,27,11,23,7,6,19,1
W_2010_11_3104_3399,W,2010,11,RegularSeason,1,0,1,3104,3399,73,68,5,141,N,1,0,0,0,0,0,,,,,,,26,62,5,12,16,28,16,31,15,20,5,2,25,25,63,4,21,14,27,14,26,7,20,4,2,27,2
W_2010_11_3105_3293,W,2010,11,RegularSeason,1,0,1,3293,3105,72,61,11,133,A,0,0,1,1,0,0,,,,,,,30,67,4,21,8,11,11,24,19,15,15,6,19,22,57,3,12,14,21,16,27,12,26,8,3,13,3
W_2010_11_3107_3200,W,2010,11,RegularSeason,1,0,1,3200,3107,76,56,20,132,H,0,1,0,0,1,0,,,,,,,29,53,1,5,17,24,9,26,13,19,14,5,15,22,57,5,17,7,9,11,19,9,24,13,2,18,4
W_2010_11_3108_3412,W,2010,11,RegularSeason,1,0,1,3412,3108,76,62,14,138,H,0,1,0,0,1,0,,,,,,,27,58,5,12,17,26,12,34,14,15,6,4,22,19,62,5,15,19,29,15,25,10,13,6,1,25,5
W_2010_11_3110_3224,W,2010,11,RegularSeason,1,0,1,3110,3224,71,59,12,130,A,0,0,1,1,0,0,,,,,,,29,62,6,15,7,12,14,23,18,13,6,2,17,19,58,2,14,19,23,17,23,8,15,6,0,15,6
W_2010_11_3111_3267,W,2010,11,RegularSeason,1,0,1,3111,3267,63,58,5,121,A,0,0,1,1,0,0,,,,,,,27,52,4,11,5,9,6,40,14,27,5,10,18,18,74,6,26,16,25,22,22,15,11,14,5,14,7
W_2010_11_3114_3329,W,2010,11,RegularSeason,1,0,1,3329,3114,67,58,9,125,H,0,1,0,0,1,0,Z04,4.0,Z,Y11,11.0,Y,21,58,3,14,22,28,16,25,11,14,6,3,19,24,60,3,12,7,14,14,25,6,17,9,0,26,8
W_2010_11_3115_3280,W,2010,11,RegularSeason,1,0,1,3280,3115,106,48,58,154,H,0,1,0,0,1,0,W07,7.0,W,,,,38,85,9,28,21,37,30,41,19,16,16,4,25,15,59,3,19,15,30,12,31,6,27,5,1,29,9
W_2010_11_3117_3166,W,2010,11,RegularSeason,1,0,1,3166,3117,77,54,23,131,H,0,1,0,0,1,0,,,,,,,27,68,13,31,10,16,20,33,19,17,7,2,17,19,60,6,13,10,17,11,25,10,17,8,2,17,10
W_2010_11_3119_3447,W,2010,11,RegularSeason,1,0,1,3119,3447,74,70,4,144,H,0,1,0,0,1,1,,,,,,,30,74,7,20,7,11,14,33,18,11,5,3,18,25,74,9,17,11,21,21,32,12,14,4,2,14,11
W_2010_11_3120_3407,W,2010,11,RegularSeason,1,0,1,3120,3407,70,65,5,135,H,0,1,0,0,1,0,,,,,,,22,65,3,18,23,36,21,25,13,16,10,1,26,21,54,8,16,15,29,16,28,13,29,9,1,28,12
W_2010_11_3123_3276,W,2010,11,RegularSeason,1,0,1,3276,3123,87,67,20,154,H,0,1,0,0,1,0,,,,,,,31,66,14,26,11,23,13,26,20,17,15,3,16,26,63,4,20,11,15,13,28,10,28,9,1,20,13
W_2010_11_3125_3146,W,2010,11,RegularSeason,1,0,1,3125,3146,85,76,9,161,H,0,1,0,0,1,0,,,,,,,25,56,10,27,25,31,13,30,15,21,5,2,27,22,60,8,26,24,35,15,20,10,15,10,0,22,14
W_2010_11_3127_3382,W,2010,11,RegularSeason,1,0,1,3382,3127,63,42,21,105,A,0,0,1,1,0,0,,,,,,,24,54,4,9,11,13,14,26,4,20,6,1,18,14,46,5,17,9,14,11,16,9,19,8,9,16,15
W_2010_11_3131_3246,W,2010,11,RegularSeason,1,0,1,3246,3131,92,58,34,150,H,0,1,0,0,1,0,Y04,4.0,Y,,,,30,71,7,23,25,29,11,34,11,13,15,4,23,17,54,6,23,18,27,10,30,8,29,2,5,22,16
W_2010_11_3132_3152,W,2010,11,RegularSeason,1,0,1,3132,3152,76,41,35,117,H,0,1,0,0,1,0,Y12,12.0,Y,,,,26,57,11,28,13,14,10,25,19,19,16,5,16,16,52,3,10,6,8,12,22,7,28,8,1,17,17
W_2010_11_3133_3296,W,2010,11,RegularSeason,1,0,1,3296,3133,86,73,13,159,H,0,1,0,0,1,0,,,,,,,33,75,5,15,15,32,20,24,11,15,9,0,19,28,62,7,23,10,19,15,31,14,25,3,4,27,18
